0,0,1,0,0
1,0,1,0,0
2,0,1,0,0
3,0,1,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,1,0
27,0,0,1,0
28,0,1,0,0
29,0,1,0,0
30,0,1,0,0
31,0,1,1,0
32,0,1,0,0
33,0,1,1,0
34,0,0,1,0
35,0,0,1,0
36,1,1,0,0
37,0,0,0,0
38,0,0,0,0
39,0,1,0,0
40,0,1,0,0
41,0,1,0,0
42,0,0,0,0
43,0,1,0,0
44,1,1,1,1
45,0,1,0,0
46,1,0,1,0
47,0,1,0,0
48,1,0,1,1
49,1,1,1,0
50,0,1,1,0
51,0,0,0,0
52,1,0,0,0
53,0,1,0,0
54,1,0,0,0
55,1,1,0,0
56,1,0,0,0
57,1,1,0,0
58,1,1,1,1
59,1,0,0,1
60,1,0,0,0
61,1,0,0,0
62,0,0,0,0
63,1,0,0,0
64,0,1,0,0
65,0,0,0,1
66,0,1,0,0
67,0,1,0,0
68,0,1,1,0
69,0,1,1,0
70,0,1,0,0
71,0,0,0,0
72,0,0,0,0
73,0,1,0,0
74,0,1,0,0
75,0,1,0,0
76,0,0,0,0
77,0,1,0,0
78,0,1,0,0
79,0,1,0,0
80,0,0,0,0
81,0,1,0,0
82,0,0,0,0
83,0,0,0,0
84,0,1,0,0
85,0,0,0,0
86,0,0,0,0
87,0,1,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,1,0,0
94,0,1,0,0
95,0,1,0,0
96,0,0,0,0
97,0,1,0,0
98,0,1,0,0
99,0,0,0,0
100,1,1,0,1
101,0,1,0,0
102,0,1,0,0
103,0,0,1,0
104,0,1,0,0
105,1,1,0,0
106,0,1,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,1,0,0
111,1,0,1,0
112,0,1,0,0
113,1,0,1,0
114,1,0,0,0
115,1,0,1,0
116,1,0,0,0
117,1,0,0,0
118,1,1,0,0
119,0,0,1,1
120,1,1,0,1
121,1,0,0,0
122,1,0,0,0
123,1,1,0,0
124,1,0,0,0
